date,ticker,gappctpoly,rsi14m,relvolpoly,gap_pct,change_open_pct,rvol
2024-05-01,AAPL,-0.440322,55.300653,0.856375,,,
2024-05-01,AMD,-6.484405,57.766765,1.491809,,,
2024-05-01,NVDA,-1.533529,44.829601,1.177233,,,
2024-05-01,TSLA,-0.698385,41.848592,0.882939,,,
2024-05-02,AAPL,1.896043,47.202797,1.565219,,,
2024-05-02,AMD,0.8595,49.659454,0.849802,,,
2024-05-02,NVDA,1.695548,57.125151,0.800286,,,
2024-05-02,TSLA,1.594533,22.071825,0.846498,,,
2024-05-03,AAPL,7.868578,15.483142,2.628652,,,
2024-05-03,AMD,1.772031,56.53757,0.850839,,,
2024-05-03,NVDA,2.297913,56.809734,0.848492,,,
2024-05-03,TSLA,1.161047,69.895489,0.7163,,,
2024-05-06,AAPL,-0.559494,44.665012,1.260317,,,
2024-05-06,AMD,1.660027,68.747558,0.775107,,,
2024-05-06,NVDA,0.676886,88.648583,0.813496,,,
2024-05-06,TSLA,1.440477,80.369147,0.79851,,,
2024-05-07,AAPL,0.95757,63.49535,1.224967,,,
2024-05-07,AMD,0.346643,50.382497,0.662439,,,
2024-05-07,NVDA,-1.130888,48.74937,0.953593,,,
2024-05-07,TSLA,-1.277333,28.058731,0.709909,,,
2024-05-08,AAPL,0.246711,27.8125,0.718644,,,
2024-05-08,AMD,-0.666969,62.161184,0.520431,,,
2024-05-08,NVDA,-1.183272,60.345642,0.720047,,,
2024-05-08,TSLA,-3.498116,65.536312,0.764492,,,
2024-05-09,AAPL,-0.098501,58.805484,0.785978,,,
2024-05-09,AMD,-0.318969,32.436524,0.606449,,,
2024-05-09,NVDA,0.129408,11.97411,0.848655,,,
2024-05-09,TSLA,0.16598,34.151302,0.633673,,,
2024-05-10,AAPL,0.178794,35.879315,0.821033,,,
2024-05-10,AMD,1.245095,64.582346,0.700141,,,
2024-05-10,NVDA,1.754989,68.254408,0.75849,,,
2024-05-10,TSLA,0.628017,17.581307,0.698952,,,
2024-05-13,AAPL,1.302923,51.423565,1.149331,,,
2024-05-13,AMD,-0.421274,54.678952,0.533386,,,
2024-05-13,NVDA,0.667572,19.734336,0.663383,,,
2024-05-13,TSLA,0.908174,72.594716,0.648002,,,
2024-05-14,AAPL,0.660296,35.016835,0.834476,,,
2024-05-14,AMD,-0.086344,51.665212,0.623281,,,
2024-05-14,NVDA,-0.884966,57.911392,0.68617,,,
2024-05-14,TSLA,1.516028,58.122402,0.843693,,,
2024-05-15,AAPL,0.256096,38.70313,1.107908,,,
2024-05-15,AMD,1.58527,63.827434,0.846632,,,
2024-05-15,NVDA,1.221595,60.60241,0.963172,,,
2024-05-15,TSLA,1.323571,10.333752,0.778672,,,
2024-05-16,AAPL,0.395319,45.529878,0.832018,,,
2024-05-16,AMD,0.782865,68.204525,1.515268,,,
2024-05-16,NVDA,0.295889,64.356702,0.753363,,,
2024-05-16,TSLA,0.063222,45.740197,0.596961,,,
2024-05-17,AAPL,-0.173831,70.242076,0.650256,,,
2024-05-17,AMD,3.572746,47.305646,1.302445,,,
2024-05-17,NVDA,0.010598,47.308946,0.839077,,,
2024-05-17,TSLA,-0.737817,50.31295,0.79023,,,
2024-05-20,AAPL,-0.287039,77.083333,0.696209,,,
2024-05-20,AMD,0.656655,73.996905,0.900027,,,
2024-05-20,NVDA,1.374366,71.656305,0.741555,,,
2024-05-20,TSLA,0.056351,29.416893,0.639126,,,
2024-05-21,AAPL,0.026173,85.654673,0.664056,,,
2024-05-21,AMD,-1.40083,49.470092,0.597071,,,
2024-05-21,NVDA,-1.246043,51.319322,0.775745,,,
2024-05-21,TSLA,0.320091,79.300567,1.188534,,,
2024-05-22,AAPL,-0.04419,48.923209,0.548136,,,
2024-05-22,AMD,1.670108,49.157303,0.951413,,,
2024-05-22,NVDA,0.076531,34.619879,1.282098,,,
2024-05-22,TSLA,-2.009646,35.159513,0.909435,,,
2024-05-23,AAPL,0.041907,31.952113,0.824323,,,
2024-05-23,AMD,2.81537,64.072576,1.791956,,,
