date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2024-04-01,AAPL,-0.169116,-0.169116,51.954922,0.54892
2024-04-01,AMD,-0.216078,-0.216078,50.088993,0.998208
2024-04-01,NVDA,-0.063084,-0.063084,60.738826,0.714604
2024-04-01,TSLA,0.216167,0.216167,79.735382,0.769609
2024-04-02,AAPL,-0.558725,-0.558725,35.57056,0.567456
2024-04-02,AMD,-2.110832,-2.110832,51.963836,0.803966
2024-04-02,NVDA,-2.11923,-2.11923,51.46754,0.660839
2024-04-02,TSLA,-5.975345,-5.975345,56.989437,1.07444
2024-04-03,AAPL,-0.029614,-0.029614,41.482763,0.575997
2024-04-03,AMD,-0.649133,-0.649133,72.97255,0.659975
2024-04-03,NVDA,-1.082145,-1.082145,50.200714,0.581582
2024-04-03,TSLA,-1.566345,-1.566345,63.04264,0.801155
2024-04-04,AAPL,0.377247,0.377247,27.967272,0.667435
2024-04-04,AMD,1.189357,1.189357,34.169768,1.140528
2024-04-04,NVDA,1.62088,1.62088,34.534678,0.671662
2024-04-04,TSLA,1.003682,1.003682,49.356455,1.223893
2024-04-05,AAPL,0.456107,0.456107,37.603841,0.517491
2024-04-05,AMD,1.368872,1.368872,39.062851,0.845864
2024-04-05,NVDA,1.118678,1.118678,52.186107,0.637363
2024-04-05,TSLA,-1.186371,-1.186371,39.955198,1.36377
2024-04-08,AAPL,-0.324331,-0.324331,37.873016,0.457667
2024-04-08,AMD,-1.302664,-1.302664,56.76543,0.580046
2024-04-08,NVDA,0.786292,0.786292,46.067408,0.454954
2024-04-08,TSLA,2.692541,2.692541,53.011301,0.996953
2024-04-09,AAPL,0.148412,0.148412,70.703387,0.556131
2024-04-09,AMD,0.18246,0.18246,68.756341,0.579964
2024-04-09,NVDA,0.35463,0.35463,68.337118,0.887626
2024-04-09,TSLA,-0.040467,-0.040467,70.138246,0.987623
2024-04-10,AAPL,-0.51276,-0.51276,40.002385,0.63124
2024-04-10,AMD,-2.383183,-2.383183,53.916081,0.787392
2024-04-10,NVDA,-1.673032,-1.673032,49.656361,0.725188
2024-04-10,TSLA,-2.170963,-2.170963,49.966535,0.793711
2024-04-11,AAPL,0.33377,0.33377,62.075118,1.170477
2024-04-11,AMD,0.242312,0.242312,50.130667,0.641305
2024-04-11,NVDA,0.437735,0.437735,63.468189,0.727837
2024-04-11,TSLA,0.459944,0.459944,35.279091,0.916066
2024-04-12,AAPL,-0.445612,-0.445612,66.979657,1.314223
2024-04-12,AMD,-3.501466,-3.501466,47.309476,0.809848
2024-04-12,NVDA,-1.011963,-1.011963,50.051344,0.698851
2024-04-12,TSLA,-1.294387,-1.294387,49.963916,0.595487
2024-04-15,AAPL,-0.67403,-0.67403,30.469363,0.895836
2024-04-15,AMD,0.704312,0.704312,37.015775,0.806386
2024-04-15,NVDA,1.034178,1.034178,33.945949,0.75561
2024-04-15,TSLA,-0.473546,-0.473546,32.576763,0.935612
2024-04-16,AAPL,-0.544328,-0.544328,32.064259,0.96467
2024-04-16,AMD,1.222555,1.222555,34.554523,0.7475
2024-04-16,NVDA,0.501738,0.501738,32.622422,0.634462
2024-04-16,TSLA,-2.934109,-2.934109,48.83008,0.923523
2024-04-17,AAPL,0.135789,0.135789,48.508445,0.646175
2024-04-17,AMD,0.312003,0.312003,26.897664,1.040831
2024-04-17,NVDA,1.058171,1.058171,41.043204,0.872618
2024-04-17,TSLA,0.337343,0.337343,26.542419,0.812553
2024-04-18,AAPL,0.017857,0.017857,54.997424,0.542266
2024-04-18,AMD,0.967407,0.967407,49.011122,0.699031
2024-04-18,NVDA,1.112632,1.112632,43.194097,0.785023
2024-04-18,TSLA,-2.701833,-2.701833,20.346517,0.924976
2024-04-19,AAPL,-0.496887,-0.496887,42.632793,0.857966
2024-04-19,AMD,-2.250451,-2.250451,53.878924,0.98068
2024-04-19,NVDA,-1.796365,-1.796365,50.909632,1.542525
2024-04-19,TSLA,-0.640299,-0.640299,58.204731,0.834003
2024-04-22,AAPL,0.312121,0.312121,33.66655,0.604005
2024-04-22,AMD,1.029733,1.029733,47.874945,0.654385
2024-04-22,NVDA,2.498688,2.498688,53.299616,1.017174
2024-04-22,TSLA,-4.413465,-4.413465,49.422939,1.049841
2024-04-23,AAPL,-0.295466,-0.295466,50.406583,0.585534
2024-04-23,AMD,2.025027,2.025027,41.455826,0.645339
2024-04-23,NVDA,1.573229,1.573229,44.686289,0.76826
2024-04-23,TSLA,0.901091,0.901091,27.82529,0.964463
2024-04-24,AAPL,-0.215698,-0.215698,49.536872,0.620812
2024-04-24,AMD,2.817364,2.817364,53.891863,0.617629
2024-04-24,NVDA,1.852638,1.852638,45.99526,0.916958
2024-04-24,TSLA,12.551839,12.551839,54.820234,1.724593
2024-04-25,AAPL,0.298781,0.298781,62.856047,0.662967
2024-04-25,AMD,-1.706867,-1.706867,62.111439,0.599531
2024-04-25,NVDA,-1.015349,-1.015349,61.825921,0.733181
2024-04-25,TSLA,-1.955221,-1.955221,64.36484,1.172178
2024-04-26,AAPL,-0.005886,-0.005886,20.342563,0.606911
2024-04-26,AMD,0.312175,0.312175,53.401437,0.625954
2024-04-26,NVDA,1.435279,1.435279,64.150653,1.023584
2024-04-26,TSLA,-0.781525,-0.781525,51.406976,1.026191
2024-04-29,AAPL,2.404017,2.404017,46.922556,0.922194
2024-04-29,AMD,1.067344,1.067344,76.760147,0.658421
2024-04-29,NVDA,-0.159571,-0.159571,66.847209,0.708426
2024-04-29,TSLA,11.961495,11.961495,54.839252,2.189198
2024-04-30,AAPL,-0.097983,-0.097983,17.873839,0.740189
2024-04-30,AMD,0.268414,0.268414,58.483413,0.812318
2024-04-30,NVDA,-0.589127,-0.589127,39.227345,0.631411
2024-04-30,TSLA,-3.643391,-3.643391,29.588001,1.118319
